power [kw],Time
518.4,2020 01 24 09:00:00
493.71,2020 01 24 10:00:00
571.14,2020 01 24 11:00:00
520.62,2020 01 24 12:00:00
512.23,2020 01 24 13:00:00
502.74,2020 01 24 14:00:00
494.34,2020 01 24 15:00:00
504.79,2020 01 24 16:00:00
535.67,2020 01 24 17:00:00
501.54,2020 01 24 18:00:00
444.88,2020 01 24 19:00:00
372.56,2020 01 24 20:00:00
200.86,2020 01 24 21:00:00
50.47,2020 01 24 22:00:00
177.0,2020 01 24 23:00:00
100.2,2020 01 25 00:00:00
59.68,2020 01 25 01:00:00
82.96,2020 01 25 02:00:00
84.85,2020 01 25 03:00:00
75.46,2020 01 25 04:00:00
97.45,2020 01 25 05:00:00
210.22,2020 01 25 06:00:00
201.78,2020 01 25 07:00:00
414.91,2020 01 25 08:00:00
518.72,2020 01 25 09:00:00
494.27,2020 01 25 10:00:00
571.39,2020 01 25 11:00:00
520.66,2020 01 25 12:00:00
513.05,2020 01 25 13:00:00
504.01,2020 01 25 14:00:00
495.46,2020 01 25 15:00:00
505.51,2020 01 25 16:00:00
536.25,2020 01 25 17:00:00
501.93,2020 01 25 18:00:00
462.0,2020 01 25 19:00:00
389.85,2020 01 25 20:00:00
216.82,2020 01 25 21:00:00
25.62,2020 01 25 22:00:00
182.7,2020 01 25 23:00:00
90.12,2020 01 26 00:00:00
89.74,2020 01 26 01:00:00
99.75,2020 01 26 02:00:00
81.96,2020 01 26 03:00:00
113.22,2020 01 26 04:00:00
119.63,2020 01 26 05:00:00
223.9,2020 01 26 06:00:00
217.63,2020 01 26 07:00:00
430.51,2020 01 26 08:00:00
540.47,2020 01 26 09:00:00
517.93,2020 01 26 10:00:00
596.69,2020 01 26 11:00:00
556.86,2020 01 26 12:00:00
563.32,2020 01 26 13:00:00
563.89,2020 01 26 14:00:00
562.05,2020 01 26 15:00:00
568.94,2020 01 26 16:00:00
610.5,2020 01 26 17:00:00
568.91,2020 01 26 18:00:00
536.67,2020 01 26 19:00:00
461.65,2020 01 26 20:00:00
278.37,2020 01 26 21:00:00
84.26,2020 01 26 22:00:00
170.23,2020 01 26 23:00:00
106.22,2020 01 27 00:00:00
87.98,2020 01 27 01:00:00
89.31,2020 01 27 02:00:00
90.56,2020 01 27 03:00:00
150.68,2020 01 27 04:00:00
150.91,2020 01 27 05:00:00
338.16,2020 01 27 06:00:00
321.9,2020 01 27 07:00:00
500.77,2020 01 27 08:00:00
614.02,2020 01 27 09:00:00
597.22,2020 01 27 10:00:00
657.29,2020 01 27 11:00:00
616.24,2020 01 27 12:00:00
596.06,2020 01 27 13:00:00
562.54,2020 01 27 14:00:00
540.06,2020 01 27 15:00:00
534.04,2020 01 27 16:00:00
570.58,2020 01 27 17:00:00
529.86,2020 01 27 18:00:00
474.55,2020 01 27 19:00:00
400.42,2020 01 27 20:00:00
223.77,2020 01 27 21:00:00
32.87,2020 01 27 22:00:00
121.74,2020 01 27 23:00:00
81.16,2020 01 28 00:00:00
78.65,2020 01 28 01:00:00
88.5,2020 01 28 02:00:00
91.65,2020 01 28 03:00:00
88.69,2020 01 28 04:00:00
101.52,2020 01 28 05:00:00
171.91,2020 01 28 06:00:00
159.89,2020 01 28 07:00:00
325.92,2020 01 28 08:00:00
400.89,2020 01 28 09:00:00
496.03,2020 01 28 10:00:00
572.56,2020 01 28 11:00:00
520.98,2020 01 28 12:00:00
513.81,2020 01 28 13:00:00
504.18,2020 01 28 14:00:00
495.52,2020 01 28 15:00:00
495.15,2020 01 28 16:00:00
535.85,2020 01 28 17:00:00
456.29,2020 01 28 18:00:00
320.14,2020 01 28 19:00:00
294.87,2020 01 28 20:00:00
166.15,2020 01 28 21:00:00
34.82,2020 01 28 22:00:00
155.88,2020 01 28 23:00:00
94.09,2020 01 29 00:00:00
65.79,2020 01 29 01:00:00
65.48,2020 01 29 02:00:00
80.25,2020 01 29 03:00:00
82.43,2020 01 29 04:00:00
81.11,2020 01 29 05:00:00
164.15,2020 01 29 06:00:00
156.13,2020 01 29 07:00:00
234.29,2020 01 29 08:00:00
166.28,2020 01 29 09:00:00
286.68,2020 01 29 10:00:00
364.94,2020 01 29 11:00:00
407.84,2020 01 29 12:00:00
404.92,2020 01 29 13:00:00
397.24,2020 01 29 14:00:00
389.0,2020 01 29 15:00:00
389.92,2020 01 29 16:00:00
337.92,2020 01 29 17:00:00
329.77,2020 01 29 18:00:00
279.12,2020 01 29 19:00:00
256.15,2020 01 29 20:00:00
219.53,2020 01 29 21:00:00
16.0,2020 01 29 22:00:00
161.03,2020 01 29 23:00:00
82.33,2020 01 30 00:00:00
82.25,2020 01 30 01:00:00
73.53,2020 01 30 02:00:00
71.18,2020 01 30 03:00:00
99.52,2020 01 30 04:00:00
88.53,2020 01 30 05:00:00
210.14,2020 01 30 06:00:00
191.55,2020 01 30 07:00:00
414.85,2020 01 30 08:00:00
518.26,2020 01 30 09:00:00
494.01,2020 01 30 10:00:00
571.25,2020 01 30 11:00:00
520.26,2020 01 30 12:00:00
512.32,2020 01 30 13:00:00
502.79,2020 01 30 14:00:00
494.26,2020 01 30 15:00:00
494.35,2020 01 30 16:00:00
535.46,2020 01 30 17:00:00
501.43,2020 01 30 18:00:00
461.06,2020 01 30 19:00:00
387.65,2020 01 30 20:00:00
212.51,2020 01 30 21:00:00
36.43,2020 01 30 22:00:00
166.76,2020 01 30 23:00:00
99.56,2020 01 31 00:00:00
65.6,2020 01 31 01:00:00
75.5,2020 01 31 02:00:00
84.97,2020 01 31 03:00:00
121.55,2020 01 31 04:00:00
131.3,2020 01 31 05:00:00
