power [kw],Time
341.38,2020 01 16 20:00:00
272.63,2020 01 16 21:00:00
186.28,2020 01 16 22:00:00
113.17,2020 01 16 23:00:00
66.37,2020 01 17 00:00:00
58.69,2020 01 17 01:00:00
57.17,2020 01 17 02:00:00
61.6,2020 01 17 03:00:00
95.17,2020 01 17 04:00:00
158.44,2020 01 17 05:00:00
230.81,2020 01 17 06:00:00
220.68,2020 01 17 07:00:00
197.58,2020 01 17 08:00:00
156.05,2020 01 17 09:00:00
109.46,2020 01 17 10:00:00
106.85,2020 01 17 11:00:00
96.89,2020 01 17 12:00:00
93.74,2020 01 17 13:00:00
94.19,2020 01 17 14:00:00
117.15,2020 01 17 15:00:00
247.82,2020 01 17 16:00:00
370.63,2020 01 17 17:00:00
399.11,2020 01 17 18:00:00
392.04,2020 01 17 19:00:00
391.3,2020 01 17 20:00:00
327.13,2020 01 17 21:00:00
244.73,2020 01 17 22:00:00
174.84,2020 01 17 23:00:00
132.91,2020 01 18 00:00:00
131.46,2020 01 18 01:00:00
131.59,2020 01 18 02:00:00
134.51,2020 01 18 03:00:00
164.85,2020 01 18 04:00:00
225.19,2020 01 18 05:00:00
294.29,2020 01 18 06:00:00
277.04,2020 01 18 07:00:00
243.25,2020 01 18 08:00:00
197.06,2020 01 18 09:00:00
149.24,2020 01 18 10:00:00
140.31,2020 01 18 11:00:00
127.17,2020 01 18 12:00:00
121.19,2020 01 18 13:00:00
115.23,2020 01 18 14:00:00
131.49,2020 01 18 15:00:00
245.57,2020 01 18 16:00:00
383.75,2020 01 18 17:00:00
415.06,2020 01 18 18:00:00
407.21,2020 01 18 19:00:00
407.06,2020 01 18 20:00:00
341.59,2020 01 18 21:00:00
255.82,2020 01 18 22:00:00
186.33,2020 01 18 23:00:00
145.55,2020 01 19 00:00:00
141.15,2020 01 19 01:00:00
140.54,2020 01 19 02:00:00
141.04,2020 01 19 03:00:00
168.74,2020 01 19 04:00:00
229.07,2020 01 19 05:00:00
297.7,2020 01 19 06:00:00
278.58,2020 01 19 07:00:00
242.85,2020 01 19 08:00:00
195.35,2020 01 19 09:00:00
144.91,2020 01 19 10:00:00
133.71,2020 01 19 11:00:00
115.61,2020 01 19 12:00:00
102.79,2020 01 19 13:00:00
93.74,2020 01 19 14:00:00
108.3,2020 01 19 15:00:00
219.71,2020 01 19 16:00:00
354.6,2020 01 19 17:00:00
383.73,2020 01 19 18:00:00
375.88,2020 01 19 19:00:00
373.37,2020 01 19 20:00:00
306.42,2020 01 19 21:00:00
221.08,2020 01 19 22:00:00
148.22,2020 01 19 23:00:00
104.9,2020 01 20 00:00:00
101.43,2020 01 20 01:00:00
98.46,2020 01 20 02:00:00
94.9,2020 01 20 03:00:00
118.01,2020 01 20 04:00:00
172.03,2020 01 20 05:00:00
234.49,2020 01 20 06:00:00
213.64,2020 01 20 07:00:00
184.94,2020 01 20 08:00:00
145.73,2020 01 20 09:00:00
108.29,2020 01 20 10:00:00
110.21,2020 01 20 11:00:00
102.02,2020 01 20 12:00:00
97.36,2020 01 20 13:00:00
94.77,2020 01 20 14:00:00
111.9,2020 01 20 15:00:00
220.71,2020 01 20 16:00:00
352.7,2020 01 20 17:00:00
380.02,2020 01 20 18:00:00
370.55,2020 01 20 19:00:00
366.88,2020 01 20 20:00:00
297.71,2020 01 20 21:00:00
213.55,2020 01 20 22:00:00
143.79,2020 01 20 23:00:00
102.61,2020 01 21 00:00:00
101.63,2020 01 21 01:00:00
96.64,2020 01 21 02:00:00
91.11,2020 01 21 03:00:00
115.58,2020 01 21 04:00:00
170.25,2020 01 21 05:00:00
234.5,2020 01 21 06:00:00
212.58,2020 01 21 07:00:00
154.45,2020 01 21 08:00:00
110.7,2020 01 21 09:00:00
